ingredient_name;function1;function2;warning1;warning2;ingredient_origin;ingredient_charge
1,2-Hexanediol;Preservative;Humectant;;;Synthetic;Non-ionik
2,3-Butanediol;Humectant;Solvent;;;Synthetic;Non-ionik
2-Aminobutanol;pH Adjuster;;Irritant;;Synthetic;Kationik
2-Methylpropanediol;Solvent;Humectant;;;Synthetic;Non-ionik
2-O-Ethyl Ascorbic Acid;Antioxidant;;;;Synthetic;Non-ionik
3-O-Ethyl Ascorbic Acid;Antioxidant;;;;Synthetic;Non-ionik
Abies Sibirica Oil;Perfum;Emollient;Allergen;;Natural;Non-ionik
Acacia Senegal Gum;Viscosity Increasing Agent-Aqueous;Emulsion Stabilizer;;;Natural;Anionik
Acetyl Dipeptide-1 Cetyl Ester;Miscellaneous;;;;Synthetic;Non-ionik
Acetyl Glucosamine;Miscellaneous;;;;Natural Derivative;Non-ionik
Acetyl Glutamine;Miscellaneous;Humectant;;;Natural Derivative;Non-ionik
Acetyl Heptapeptide-4;Miscellaneous;;;;Synthetic;Non-ionik
Acetyl Hexapeptide-8;Miscellaneous;;;;Synthetic;Non-ionik
Acetyl Octapeptide-3;Miscellaneous;;;;Synthetic;Non-ionik
Acetyl Tetrapeptide-11;Miscellaneous;;;;Synthetic;Non-ionik
Acetyl Tetrapeptide-2;Miscellaneous;;;;Synthetic;Non-ionik
Acetyl Tetrapeptide-5;Miscellaneous;;;;Synthetic;Non-ionik
Acetyl Tyrosine;Miscellaneous;;;;Natural Derivative;Non-ionik
Acmella Oleracea Extract;Miscellaneous;;;;Natural;Non-ionik
Acrylates Copolymer;Hair Fixative;Film Forming Agent;;;Synthetic;Anionik
Acrylates/C10-30 Alkyl Acrylate Crosspolymer;Viscosity Increasing Agent-Aqueous;Emulsion Stabilizer;;;Synthetic;Anionik
Acrylic Acid/Acrylamidomethyl Propane Sulfonic Acid Copolymer;Viscosity Increasing Agent-Aqueous;Emulsion Stabilizer;;;Synthetic;Anionik
Actinidia Chinensis (Kiwi) Fruit Extract;Miscellaneous;Antioxidant;Allergen;;Natural;Non-ionik
Adenosine;Miscellaneous;;;;Natural Derivative;Non-ionik
Agar;Viscosity Increasing Agent-Aqueous;;;;Natural;Non-ionik
Alanine;Miscellaneous;Humectant;;;Natural Derivative;Amfoterik
Alanine/Histidine/Lysine Polypeptide Copper Hcl;Miscellaneous;;;;Synthetic;Kationik
Alcohol;Solvent;Astringent;Drying;Irritant;Natural Derivative;Non-ionik
Alcohol Denat;Solvent;Astringent;Drying;Irritant;Synthetic;Non-ionik
Allantoin;Miscellaneous;;;;Natural Derivative;Non-ionik
Almond Oil/Polyglyceryl-10 Esters;Emulsifying;Emollient;;;Natural Derivative;Non-ionik
Aloe Barbadensis Flower Extract;Miscellaneous;Antioxidant;Allergen;;Natural;Non-ionik
Aloe Barbadensis Leaf Extract;Miscellaneous;Antioxidant;Allergen;;Natural;Non-ionik
Alpha-Arbutin;Miscellaneous;Antioxidant;;;Natural Derivative;Non-ionik
Aluminum Chlorohydrate;Astringent;;Controversial;Irritant;Synthetic;Kationik
Aluminum/Magnesium Hydroxide Stearate;Viscosity Increasing Agent-Non Aqueous;Opacifying Agent;;;Synthetic;Non-ionik
Amaranthus Caudatus Seed Extract;Miscellaneous;Emollient;;;Natural;Non-ionik
Amber Powder;Abrasive;;;;Natural;Non-ionik
Aminomethyl Propanol;pH Adjuster;;Irritant;;Synthetic;Kationik
Aminopropyl Ascorbyl Phosphate;Antioxidant;Miscellaneous;;;Synthetic;Non-ionik
Ammonium Acryloyldimethyltaurate/Beheneth-25 Methacrylate Crosspolymer;Viscosity Increasing Agent-Aqueous;Emulsion Stabilizer;;;Synthetic;Anionik
Ammonium Acryloyldimethyltaurate/Vp Copolymer;Viscosity Increasing Agent-Aqueous;Hair Fixative;;;Synthetic;Anionik
Amylopectin;Viscosity Increasing Agent-Aqueous;;;;Natural;Non-ionik
Anemarrhena Asphodeloides Root Extract;Miscellaneous;Antioxidant;;;Natural;Non-ionik
Angelica Keiskei Extract;Miscellaneous;Antioxidant;Fotosensitizing;;Natural;Non-ionik
Anhydroxylitol;Humectant;;;;Natural Derivative;Non-ionik
Anthemis Nobilis Flower Extract;Miscellaneous;Antioxidant;Allergen;;Natural;Non-ionik
Anthemis Nobilis Flower Oil;Perfum;Emollient;Allergen;;Natural;Non-ionik
Aqua (Water);Solvent;Miscellaneous;;;Natural;Non-ionik
Arachidyl Alcohol;Viscosity Increasing Agent-Non Aqueous;Emulsion Stabilizer;;;Natural Derivative;Non-ionik
Arachidyl Glucoside;Emulsifying;;;;Natural Derivative;Non-ionik
Arachis Hypogaea (Peanut) Oil;Emollient;Occlusive;Allergen;;Natural;Non-ionik
Arbutin;Miscellaneous;Antioxidant;;;Natural Derivative;Non-ionik
Arginine;Miscellaneous;Humectant;;;Natural Derivative;Amfoterik
Arisaema Amurense Extract;Miscellaneous;;;;Natural;Non-ionik
Artemisia Capillaris Leaf Extract;Miscellaneous;Antioxidant;;;Natural;Non-ionik
Artemisia Princeps Leaf Extract;Miscellaneous;Antioxidant;;;Natural;Non-ionik
Artemisia Vulgaris (Mugwort) Oil;Perfum;Emollient;Allergen;;Natural;Non-ionik
Ascorbic Acid;Antioxidant;;Irritant;;Synthetic;Non-ionik
Ascorbyl Glucoside;Antioxidant;Miscellaneous;;;Synthetic;Non-ionik
Ascorbyl Palmitate;Antioxidant;Emollient;;;Synthetic;Non-ionik
Ascorbyl Tetraisopalmitate;Antioxidant;Emollient;;;Synthetic;Non-ionik
Asiatic Acid;Miscellaneous;;;;Natural;Non-ionik
Asiaticoside;Miscellaneous;;;;Natural;Non-ionik
Aspartic Acid;Miscellaneous;Humectant;;;Natural Derivative;Amfoterik
Astragalus Membranaceus Root Extract;Miscellaneous;Antioxidant;;;Natural;Non-ionik
Avena Sativa (Oat) Kernel Extract;Miscellaneous;Antioxidant;;;Natural;Non-ionik
Avena Sativa (Oat) Kernel Flour;Abrasive;Viscosity Increasing Agent-Aqueous;;;Natural;Non-ionik
Bacillus Ferment;Miscellaneous;;;;Natural Derivative;Non-ionik
Bacillus/Soybean Ferment Extract;Miscellaneous;;;;Natural Derivative;Non-ionik
Bambusa Vulgaris Extract;Miscellaneous;;;;Natural;Non-ionik
Beeswax;Viscosity Increasing Agent-Non Aqueous;Occlusive;Comedogenic;;Natural;Non-ionik
Behenyl Alcohol;Viscosity Increasing Agent-Non Aqueous;Emulsion Stabilizer;;;Natural Derivative;Non-ionik
Bellis Perennis (Daisy) Flower Extract;Miscellaneous;;Allergen;;Natural;Non-ionik
Bentonite;Viscosity Increasing Agent-Aqueous;;Drying;;Natural;Anionik
Benzalkonium Chloride;Preservative;;Irritant;Allergen;Synthetic;Kationik
Benzyl Glycol;Solvent;Preservative;Irritant;;Synthetic;Non-ionik
Beta-Carotene;Colorant;Antioxidant;;;Natural Derivative;Non-ionik
Beta-Glucan;Miscellaneous;Humectant;;;Natural Derivative;Non-ionik
Betaine;Humectant;;;;Natural Derivative;Amfoterik
Betaine Salicylate;Miscellaneous;;Exfoliating;Irritant;Synthetic;Non-ionik
Bht;Antioxidant;Preservative;Controversial;;Synthetic;Non-ionik
Bifida Ferment Filtrate;Miscellaneous;;;;Natural Derivative;Non-ionik
Bifida Ferment Lysate;Miscellaneous;;;;Natural Derivative;Non-ionik
Biotin;Miscellaneous;;;;Synthetic;Non-ionik
Bis-Ethoxydiglycol Cyclohexane 1,4-Dicarboxylate;Solvent;;;;Synthetic;Non-ionik
Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine;Sunscreen Agent;;;;Synthetic;Non-ionik
Bis-PEG-12 Dimethicone;Emulsifying;Solubiliser;;;Synthetic;Non-ionik
Bis-PEG-18 Methyl Ether Dimethyl Silane;Solvent;;;;Synthetic;Non-ionik
Bisabolol;Miscellaneous;;;;Natural Derivative;Non-ionik
Borago Officinalis Seed Oil;Emollient;;;;Natural;Non-ionik
Brassica Campestris (Rapeseed) Sterols;Emollient;Emulsion Stabilizer;;;Natural Derivative;Non-ionik
Brassica Campestris Sprout Extract;Miscellaneous;Antioxidant;;;Natural;Non-ionik
Brassica Oleracea Capitata (Cabbage) Leaf Extract;Miscellaneous;Antioxidant;;;Natural;Non-ionik
Brassica Oleracea Italica (Broccoli) Sprout Extract;Miscellaneous;Antioxidant;;;Natural;Non-ionik
Brassica Rapa (Turnip) Leaf Extract;Miscellaneous;Antioxidant;;;Natural;Non-ionik
Bromelain;Miscellaneous;;Exfoliating;Irritant;Natural;Non-ionik
Buteth-3;Solvent;Humectant;;;Synthetic;Non-ionik
Butylene Glycol;Solvent;Humectant;;;Synthetic;Non-ionik
C12-13 Alketh-9;Emulsifying;Solubiliser;;;Synthetic;Non-ionik
C12-13 Pareth-9;Emulsifying;Solubiliser;;;Synthetic;Non-ionik
C12-14 Alketh-12;Emulsifying;Solubiliser;;;Synthetic;Non-ionik
C12-14 Pareth-12;Emulsifying;Solubiliser;;;Synthetic;Non-ionik
C12-15 Alkyl Lactate;Emollient;Solvent;;;Natural Derivative;Non-ionik
C12-20 Alkyl Glucoside;Emulsifying;Cleansing Agent;;;Natural Derivative;Non-ionik
C13-14 Isoparaffin;Solvent;Emollient;;;Synthetic;Non-ionik
C14-22 Alcohols;Viscosity Increasing Agent-Non Aqueous;Emulsion Stabilizer;;;Natural Derivative;Non-ionik
Caesalpinia Spinosa Fruit Pod Extract;Viscosity Increasing Agent-Aqueous;;;;Natural;Non-ionik
Caffeine;Miscellaneous;;;;Natural Derivative;Non-ionik
Calcium Gluconate;Miscellaneous;;;;Natural Derivative;Non-ionik
Calcium Pantothenate;Miscellaneous;;;;Synthetic;Non-ionik
Calendula Officinalis Flower Extract;Miscellaneous;Antioxidant;Allergen;;Natural;Non-ionik
Camellia Japonica Seed Oil;Emollient;;;;Natural;Non-ionik
Camellia Sinensis (Green Tea) Leaf Extract;Antioxidant;Miscellaneous;;;Natural;Non-ionik
Camellia Sinensis Leaf Powder;Abrasive;;;;Natural;Non-ionik
Camellia Sinensis Leaf Water;Miscellaneous;Solvent;;;Natural;Non-ionik
Camellia Sinensis Seed Oil;Emollient;;;;Natural;Non-ionik
Candelilla/Jojoba/Rice Bran Polyglyceryl-3 Esters;Emulsifying;;;;Natural Derivative;Non-ionik
Caprylhydroxamic Acid;Preservative;Chelating Agent;;;Synthetic;Non-ionik
Caprylic/Capric Glycerides Polyglyceryl-10 Esters;Emulsifying;;;;Natural Derivative;Non-ionik
Caprylic/Capric Triglyceride;Emollient;Solvent;Comedogenic;;Natural Derivative;Non-ionik
Capryloyl Salicylic Acid;Miscellaneous;;Exfoliating;Irritant;Synthetic;Non-ionik
Caprylyl Glycol;Preservative;Emollient;;;Natural Derivative;Non-ionik
Caprylyl Methicone;Emollient;;;;Synthetic;Non-ionik
Caprylyl/Capryl Glucoside;Cleansing Agent;Emulsifying;;;Natural Derivative;Non-ionik
Capsicum Frutescens Fruit Extract;Miscellaneous;;Irritant;;Natural;Non-ionik
Caramel;Colorant;;;;Natural Derivative;Non-ionik
Carbomer;Viscosity Increasing Agent-Aqueous;Emulsion Stabilizer;;;Synthetic;Anionik
Carthamus Tinctorius (Safflower) Seed Oil;Emollient;;;;Natural;Non-ionik
Castoryl Maleate;Emollient;;;;Natural Derivative;Non-ionik
Cellulose;Viscosity Increasing Agent-Aqueous;;;;Natural;Non-ionik
Cellulose Gum;Viscosity Increasing Agent-Aqueous;;;;Natural Derivative;Anionik
Centella Asiatica Extract;Miscellaneous;Antioxidant;Allergen;;Natural;Non-ionik
Centella Asiatica Leaf Extract;Miscellaneous;Antioxidant;Allergen;;Natural;Non-ionik
Centella Asiatica Leaf Vesicles;Miscellaneous;;Allergen;;Natural;Non-ionik
Centella Asiatica Leaf Water;Miscellaneous;Solvent;Allergen;;Natural;Non-ionik
Centella Asiatica Leaf/Stem Extract;Miscellaneous;Antioxidant;Allergen;;Natural;Non-ionik
Centella Asiatica Root Extract;Miscellaneous;Antioxidant;Allergen;;Natural;Non-ionik
Ceramide Ap;Miscellaneous;;;;Synthetic;Non-ionik
Ceramide As;Miscellaneous;;;;Synthetic;Non-ionik
Ceramide Eop;Miscellaneous;;;;Synthetic;Non-ionik
Ceramide Np;Miscellaneous;;;;Synthetic;Non-ionik
Ceramide Ns;Miscellaneous;;;;Synthetic;Non-ionik
Cetearyl Alcohol;Emulsion Stabilizer;Viscosity Increasing Agent-Aqueous;;;Natural Derivative;Non-ionik
Cetearyl Dimethicone;Emollient;;;;Synthetic;Non-ionik
Cetearyl Olivate;Emulsifying;Emollient;;;Natural Derivative;Non-ionik
Cetyl Alcohol;Emulsion Stabilizer;Viscosity Increasing Agent-Aqueous;;;Natural Derivative;Non-ionik
Cetyl Ethylhexanoate;Emollient;;Comedogenic;;Synthetic;Non-ionik
Cetyl Hydroxyethylcellulose;Viscosity Increasing Agent-Aqueous;;;;Natural Derivative;Non-ionik
Cetyl-Pg Hydroxyethyl Palmitamide;Miscellaneous;;;;Synthetic;Non-ionik
Chamaecyparis Obtusa Water;Perfum;Miscellaneous;;;Natural;Non-ionik
Chamomilla Recutita (Matricaria) Flower Extract;Miscellaneous;Antioxidant;Allergen;;Natural;Non-ionik
Chamomilla Recutita (Matricaria) Flower Oil;Perfum;Emollient;Allergen;;Natural;Non-ionik
Chlorella Vulgaris Extract;Miscellaneous;Antioxidant;;;Natural;Non-ionik
Chlorphenesin;Preservative;;;;Synthetic;Non-ionik
Cholesterol;Emulsion Stabilizer;Emollient;;;Natural Derivative;Non-ionik
Ci 14720;Colorant;;;;Synthetic;Non-ionik
Ci 15985 (Yellow 6);Colorant;;;;Synthetic;Non-ionik
Ci 16035 (Red 40);Colorant;;;;Synthetic;Non-ionik
Ci 16255;Colorant;;;;Synthetic;Non-ionik
Ci 17200 (Red 33);Colorant;;;;Synthetic;Non-ionik
Ci 18965;Colorant;;;;Synthetic;Non-ionik
Ci 19140;Colorant;;;;Synthetic;Non-ionik
Ci 19140 (Yellow 5);Colorant;;;;Synthetic;Non-ionik
Ci 42090;Colorant;;;;Synthetic;Non-ionik
Ci 61570 (Green 5);Colorant;;;;Synthetic;Non-ionik
Ci 77266 (Black 2);Colorant;;;;Synthetic;Non-ionik
Ci 77288 (Chromium Oxide Green);Colorant;;;;Natural;Non-ionik
Ci 77492 (Iron Oxides Yellow);Colorant;;;;Natural;Non-ionik
Ci 77891 (Titanium Dioxide);Colorant;Sunscreen Agent;;;Natural;Non-ionik
Citral;Perfum;;Allergen;Irritant;Natural Derivative;Non-ionik
Citric Acid;pH Adjuster;Chelating Agent;Irritant;;Natural Derivative;Anionik
Citronellol;Perfum;;Allergen;;Natural Derivative;Non-ionik
Citrullus Vulgaris (Watermelon) Fruit Extract;Miscellaneous;;;;Natural;Non-ionik
Citrus Aurantium Bergamia (Bergamot) Fruit Oil;Perfum;;Fototoxic;Allergen;Natural;Non-ionik
Citrus Aurantium Bergamia (Bergamot) Leaf Extract;Perfum;Antioxidant;Fototoxic;Allergen;Natural;Non-ionik
Citrus Aurantium Dulcis (Orange) Peel Oil;Perfum;;Fototoxic;Allergen;Natural;Non-ionik
Citrus Paradisi (Grapefruit) Peel Oil;Perfum;;Fototoxic;Allergen;Natural;Non-ionik
Citrus Reticulata (Tangerine) Fruit Extract;Perfum;Antioxidant;Allergen;;Natural;Non-ionik
Citrus Reticulata (Tangerine) Peel Extract;Perfum;Antioxidant;Allergen;Fototoxic;Natural;Non-ionik
Citrus Unshiu Peel Powder;Abrasive;;;;Natural;Non-ionik
Cladosiphon Okamuranus Extract;Viscosity Increasing Agent-Aqueous;;;;Natural;Non-ionik
Cocamide Dea;Viscosity Increasing Agent-Aqueous;Foam Booster;Controversial;;Natural Derivative;Non-ionik
Cocamidopropyl Betaine;Cleansing Agent;Viscosity Increasing Agent-Aqueous;Allergen;;Natural Derivative;Amfoterik
Cocamidopropyl Dimethylamine;Hair Conditioning Agent;;;;Natural Derivative;Kationik
Cocamidopropyl Hydroxysultaine;Cleansing Agent;;;;Natural Derivative;Amfoterik
Cocamidopropyl Pg-Dimonium Chloride Phosphate;Hair Conditioning Agent;;;;Synthetic;Kationik
Coccinia Indica Fruit Extract;Miscellaneous;;;;Natural;Non-ionik
Coco-Betaine;Cleansing Agent;;;;Natural Derivative;Amfoterik
Coco-Caprylate/Caprate;Cleansing Agent;Emulsifying;;;Natural Derivative;Non-ionik
Coco-Glucoside;Emollient;Solvent;;;Natural Derivative;Non-ionik
Coffea Arabica (Coffee) Seed Extract;Antioxidant;Miscellaneous;;;Natural;Non-ionik
Collagen Amino Acids;Miscellaneous;Humectant;;;Natural Derivative;Amfoterik
Collagen Extract;Miscellaneous;Film Forming Agent;;;Natural Derivative;Amfoterik
Collagen Water;Miscellaneous;Humectant;;;Natural Derivative;Amfoterik
Copper Tripeptide-1;Miscellaneous;;;;Synthetic;Non-ionik
Coptis Japonica Root Extract;Miscellaneous;Antioxidant;;;Natural;Non-ionik
Corallina Officinalis Extract;Miscellaneous;;;;Natural;Non-ionik
Corchorus Olitorius Leaf Extract;Miscellaneous;;;;Natural;Non-ionik
Coriandrum Sativum (Coriander) Extract;Miscellaneous;Antioxidant;Allergen;;Natural;Non-ionik
Crocus Sativus Flower Extract;Miscellaneous;Antioxidant;;;Natural;Non-ionik
Cryptomeria Japonica Leaf Extract;Perfum;Miscellaneous;;;Natural;Non-ionik
Cucumis Melo (Melon) Fruit Extract;Miscellaneous;;;;Natural;Non-ionik
Curcuma Longa (Turmeric) Root Extract;Antioxidant;Colorant;Staining;;Natural;Non-ionik
Cyanocobalamin;Colorant;Miscellaneous;;;Synthetic;Non-ionik
Cyclodextrin;Solubiliser;;;;Natural Derivative;Non-ionik
Cyclohexasiloxane;Solvent;Emollient;;;Synthetic;Non-ionik
Cyclopentasiloxane;Solvent;Emollient;;;Synthetic;Non-ionik
Cymbopogon Citratus Leaf Oil;Perfum;;Allergen;Irritant;Natural;Non-ionik
Cynara Scolymus (Artichoke) Leaf Extract;Miscellaneous;Antioxidant;;;Natural;Non-ionik
Cyperus Rotundus Root Extract;Miscellaneous;;;;Natural;Non-ionik
Cysteine;Miscellaneous;;;;Natural Derivative;Amfoterik
Daucus Carota Sativa (Carrot) Root Extract;Miscellaneous;Antioxidant;;;Natural;Non-ionik
Decyl Glucoside;Cleansing Agent;;;;Natural Derivative;Non-ionik
Defatted Rice Bran;Miscellaneous;;;;Natural;Non-ionik
Defatted Rice Bran Extract;Miscellaneous;;;;Natural;Non-ionik
Deoxyphytantriyl Palmitamide Mea;Emollient;;;;Synthetic;Kationik
Dextrin;Viscosity Increasing Agent-Aqueous;;;;Natural Derivative;Non-ionik
Dibutyl Adipate;Solvent;Emollient;;;Synthetic;Non-ionik
Diethoxyethyl Succinate;Emollient;Solvent;;;Synthetic;Non-ionik
Diethylamino Hydroxybenzoyl Hexyl Benzoate;Sunscreen Agent;;;;Synthetic;Non-ionik
Diethylhexyl Syringylidenemalonate;Antioxidant;;;;Synthetic;Anionik
Diglucosyl Gallic Acid;Antioxidant;;;;Synthetic;Non-ionik
Diglycerin;Humectant;;;;Natural Derivative;Non-ionik
Dihydroxypropyl Arginine Hcl;Hair Conditioning Agent;;;;Synthetic;Kationik
Diisopropyl Adipate;Emollient;Solvent;;;Synthetic;Non-ionik
Dimethicone;Emollient;Occlusive;;;Synthetic;Non-ionik
Dimethicone/Vinyl Dimethicone Crosspolymer;Viscosity Increasing Agent-Non Aqueous;;;;Synthetic;Non-ionik
Dimethiconol;Emollient;Occlusive;;;Synthetic;Non-ionik
Dimethyl Isosorbide;Solvent;;;;Synthetic;Non-ionik
Dimethylmethoxy Chromanol;Antioxidant;;;;Synthetic;Non-ionik
Dimethylsilanol Hyaluronate;Humectant;;;;Synthetic;Non-ionik
Dioscorea Japonica Root Extract;Miscellaneous;;;;Natural;Non-ionik
Dipeptide Diaminobutyroyl Benzylamide Diacetate;Miscellaneous;;;;Synthetic;Kationik
Diphenyl Dimethicone;Emollient;;;;Synthetic;Non-ionik
Diphenylsiloxy Phenyl Trimethicone;Emollient;;;;Synthetic;Non-ionik
Dipotassium Glycyrrhizate;Miscellaneous;;;;Natural Derivative;Anionik
Dipropylene Glycol;Solvent;Humectant;;;Synthetic;Non-ionik
Disiloxane;Solvent;Emollient;;;Synthetic;Non-ionik
Disodium Cocoyl Glutamate;Cleansing Agent;;;;Natural Derivative;Anionik
Disodium Edta;Chelating Agent;;;;Synthetic;Anionik
Disodium Phosphate;pH Adjuster;;;;Synthetic;Anionik
